name_len,desc_len,mrtDisp,cityDisp,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,availability_30,availability_90,availability_365,accommodates,bedrooms,beds,amenities_Count,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,host_response_time_a few days or more,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighbourhood_Ang Mo Kio,neighbourhood_Bedok,neighbourhood_Bishan,neighbourhood_Bukit Batok,neighbourhood_Bukit Merah,neighbourhood_Bukit Panjang,neighbourhood_Bukit Timah,neighbourhood_Central Water Catchment,neighbourhood_Choa Chu Kang,neighbourhood_Clementi,neighbourhood_Downtown Core,neighbourhood_Geylang,neighbourhood_Hougang,neighbourhood_Jurong East,neighbourhood_Jurong West,neighbourhood_Kallang,neighbourhood_Mandai,neighbourhood_Marina South,neighbourhood_Marine Parade,neighbourhood_Museum,neighbourhood_Newton,neighbourhood_Novena,neighbourhood_Orchard,neighbourhood_Outram,neighbourhood_Pasir Ris,neighbourhood_Punggol,neighbourhood_Queenstown,neighbourhood_River Valley,neighbourhood_Rochor,neighbourhood_Sembawang,neighbourhood_Sengkang,neighbourhood_Serangoon,neighbourhood_Singapore River,neighbourhood_Southern Islands,neighbourhood_Tampines,neighbourhood_Tanglin,neighbourhood_Toa Payoh,neighbourhood_Western Water Catchment,neighbourhood_Woodlands,neighbourhood_Yishun,neighbourhood_group_cleansed_Central Region,neighbourhood_group_cleansed_East Region,neighbourhood_group_cleansed_North Region,neighbourhood_group_cleansed_North-East Region,neighbourhood_group_cleansed_West Region,property_type_Apartment,property_type_Condominium,property_type_Home,property_type_Hostel,property_type_Hotel,property_type_House,property_type_Others,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_qty_0,bathroom_qty_1,bathroom_qty_10,bathroom_qty_13,bathroom_qty_16,bathroom_qty_2,bathroom_qty_3,bathroom_qty_4,bathroom_qty_5,bathroom_qty_6,bathroom_qty_7,bathroom_qty_8,bathroom_qty_9,bathroom_qty_Private,bathroom_qty_Shared,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private,bathroom_type_shared
9,175,0.6098813386425918,4.585687649832004,0.99,0.82,0,1,1,0.9666666666666668,0.9888888888888888,0.8328767123287671,1,1.0,1.0,9,0,55.0,15,0.13,4.2,3.87,4.27,4.27,4.47,4.27,3.93,44,2,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,86,1.6407580244698874,6.378863515779448,0.9031531933899126,0.8099871794871844,0,1,1,0.0,0.0,0.0,4,2.0,2.0,21,0,300.0,40,0.34,4.78,4.83,4.83,4.7,4.78,4.78,4.83,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,165,1.4294798358092504,6.126353411659323,0.9031531933899126,0.8099871794871844,0,1,1,0.0,0.0,0.0,2,1.0,1.0,21,0,150.0,71,0.6,4.54,4.81,4.76,4.66,4.76,4.78,4.55,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4,155,1.1339025786842654,3.079271707096303,1.0,0.8099871794871844,0,1,1,1.0,1.0,1.0,2,1.0,2.0,2,0,150.0,2,0.03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,159,0.182350615600593,3.241885544938071,0.9,1.0,0,1,1,0.7,0.9,0.9753424657534246,1,1.0,1.0,30,1,57.0,2,0.03,5.0,5.0,4.5,5.0,5.0,5.0,5.0,97,2,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,156,0.0597240229600832,0.7785877109624024,0.9,1.0,0,1,1,0.0,0.0,0.726027397260274,1,1.0,1.0,29,1,79.0,3,0.03,4.0,4.0,3.67,4.67,4.67,4.67,4.33,97,2,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,152,0.4043862825998803,3.3355249034256023,0.9,1.0,0,1,1,0.0,0.5666666666666667,0.8931506849315068,1,1.0,1.0,28,1,57.0,2,0.03,4.5,4.5,4.0,4.5,4.5,5.0,4.0,97,2,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,159,0.1326049929736802,2.9392435286820926,0.9,1.0,0,1,1,0.7333333333333333,0.9111111111111112,0.978082191780822,1,1.0,1.0,30,1,57.0,2,0.04,5.0,4.5,4.0,5.0,5.0,5.0,4.0,97,2,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,26,0.7032030632944277,5.882035848925188,1.0,0.0,0,1,1,0.0,0.6,0.3972602739726027,1,1.0,1.0,51,0,90.0,247,2.14,4.87,4.92,4.91,4.94,4.92,4.79,4.81,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,154,0.8056756731784479,1.729428328346081,1.0,0.84,0,1,1,0.1666666666666666,0.6666666666666666,0.9178082191780822,2,1.0,1.0,42,0,170.0,258,2.38,4.84,4.89,4.78,4.93,4.95,4.84,4.73,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
