price,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathroom_qty,bathroom_type,mrtDisp,nearestMRT,cityDisp
69.0,1.28511,103.84249,Apartment,Private room,1,1.0,1.0,2,shared,0.1400256101717167,Chinatown,0.8587822237359838
79.0,1.28563,103.84212,Apartment,Private room,1,1.0,1.0,1,private,0.2050031779426234,Chinatown,0.9135073322153183
46.0,1.33305,103.87235,Home,Shared room,6,1.0,3.0,2,shared,0.4413184721932786,Potong Pasir,6.064287117687532
47.0,1.35349,103.83274,Home,Private room,3,1.0,1.0,3,shared,0.8613102920994727,Marymount,8.037170827219136
150.0,1.316,103.86134,Condominium,Private room,2,1.0,2.0,1,private,0.3241715684240761,Bendemeer,3.848409264740683
206.0,1.28945,103.84879,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.15167216153583474,Clarke Quay,0.6969533606501548
1000.0,1.33203,103.94396,Home,Private room,1,1.0,1.0,1,baths,0.5949693825776724,Tanah Merah,11.766991064854668
74.0,1.31262,103.79717,Apartment,Private room,2,1.0,1.0,1,shared,0.197407535178371,Holland Village,6.717176135759232
52.0,1.37165,103.82881,Home,Private room,1,1.0,1.0,1,shared,2.1150231621994706,Yio Chu Kang,10.102547320707925
169.0,1.27428,103.84133,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.6485718484624613,Tanjong Pagar,1.3910138382914568
165.0,1.28366,103.83188,Apartment,Private room,2,1.0,1.0,1,baths,0.635026191292379,Tiong Bahru,2.0147470570255215
169.0,1.27619,103.84074,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.4807022013550561,Outram Park,1.297970644247562
85.0,1.3171,103.85742,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.5673578609733477,Farrer Park,3.8478447412286534
160.0,1.28185,103.84657,Apartment,Private room,2,1.0,1.0,1,baths,0.2290562084746407,Telok Ayer,0.4139908816531632
232.0,1.30358,103.84575,Apartment,Entire home/apt,3,2.0,2.0,1,baths,0.49051174527729113,Dhoby Ghaut,2.3039977399669933
78.0,1.31279,103.93821,Apartment,Private room,2,1.0,1.0,1,baths,1.5354430537419201,Bedok,10.33975007501848
66.0,1.41423,103.83382,Apartment,Private room,2,1.0,1.0,1,shared,0.3666986911500755,Khatib,14.669455848878293
228.0,1.27626,103.84073,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.4729402459974606,Outram Park,1.2941293792595487
200.0,1.2744,103.84063,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.6709139304356386,Outram Park,1.4367986470353706
116.0,1.32812,103.88436,Home,Private room,2,1.0,1.0,1,private,0.18125485316831874,Mattar,6.279154688016198
200.0,1.3174,103.84796,Home,Private room,7,1.0,3.0,1,private,0.588050180714874,Novena,3.798527870111489
99.0,1.31778,103.84769,Home,Private room,6,1.0,3.0,1,private,0.5411326366399536,Novena,3.8425965458552107
240.0,1.30933,103.85843,Condominium,Entire home/apt,6,1.0,2.0,1,baths,0.5355675562846332,Jalan Besar,3.042337686151202
500.0,1.27513,103.83581,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.7053161112115874,Outram Park,1.8203576939324548
64.0,1.31269,103.79714,Condominium,Private room,1,1.0,1.0,1,shared,0.20183960974475781,Holland Village,6.723871767569088
212.0,1.44061,103.82386,Home,Private room,2,1.0,1.0,1,private,1.0375898160307533,Sembawang,17.731815173133832
30.0,1.33444,103.72204,Apartment,Private room,1,1.0,1.0,3,baths,1.1010849969193577,Lakeside,15.31932360728259
29.0,1.44162,103.79304,Apartment,Private room,2,1.0,1.0,1,shared,0.8997508872890337,Woodlands,18.708494652288856
32.0,1.44349,103.79264,Apartment,Private room,1,1.0,1.0,1,shared,1.001782151518354,Woodlands,18.919228064495503
85.0,1.31486,103.85689,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.33036251613275225,Farrer Park,3.591930356337847
300.0,1.3356,103.86592,Apartment,Shared room,1,1.0,1.0,2,shared,0.5726504579318661,Potong Pasir,6.078826683429866
1600.0,1.31315,103.881,Apartment,Entire home/apt,2,1.0,1.0,1,baths,0.4183061581075096,Aljunied,4.784657484944154
