price,latitude,longitude,property_type,room_type,bedrooms,beds,bathroom_qty,bathroom_type
240.0,1.30933,103.85843,Apartment,Entire home/apt,1.0,2.0,1.0,baths
500.0,1.27513,103.83581,Apartment,Entire home/apt,1.0,1.0,1.0,baths
64.0,1.31269,103.79714,Apartment,Private room,1.0,1.0,1.0,shared
212.0,1.44061,103.82386,House,Private room,1.0,1.0,1.0,private
30.0,1.33444,103.72204,Apartment,Private room,1.0,1.0,3.0,baths
29.0,1.44162,103.79304,Apartment,Private room,1.0,1.0,1.0,shared
32.0,1.44349,103.79264,Apartment,Private room,1.0,1.0,1.0,shared
85.0,1.31486,103.85689,Apartment,Entire home/apt,1.0,1.0,1.0,baths
300.0,1.3356,103.86592,Apartment,Shared room,1.0,1.0,2.0,shared
70.0,1.34571,103.96073,Apartment,Private room,1.0,1.0,1.0,private
121.0,1.38777,103.89649,Apartment,Shared room,1.0,1.0,0.0,shared
70.0,1.3464,103.96256,Apartment,Private room,1.0,1.0,1.0,private
165.0,1.3212,103.91483,Apartment,Private room,1.0,1.0,1.0,baths
173.0,1.30153,103.85344,Apartment,Entire home/apt,1.0,3.0,1.0,baths
115.0,1.31642,103.85759,Apartment,Entire home/apt,1.0,2.0,1.0,baths
80.0,1.346,103.9626,Apartment,Private room,1.0,1.0,1.0,private
80.0,1.31132,103.79736,Apartment,Private room,1.0,1.0,1.0,private
50.0,1.35894,103.96465,Apartment,Private room,1.0,1.0,2.0,shared
49.0,1.40015,103.90537,Apartment,Private room,1.0,2.0,1.0,private
70.0,1.31107,103.79687,Apartment,Private room,1.0,1.0,1.0,shared
180.0,1.43012,103.78434,Apartment,Entire home/apt,1.0,2.0,1.0,baths
98.0,1.32874,103.88439,Apartment,Private room,1.0,1.0,1.0,baths
90.0,1.28191,103.85202,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.32515,103.84914,Apartment,Entire home/apt,1.0,1.0,1.0,baths
45.0,1.36973,103.82847,House,Private room,1.0,1.0,1.0,shared
294.0,1.296265,103.840942,Apartment,Entire home/apt,1.0,1.0,1.0,baths
40.0,1.29575,103.76707,Apartment,Private room,2.0,2.0,1.0,shared
77.0,1.34507,103.76804,Apartment,Private room,1.0,1.0,1.0,baths
140.0,1.44167,103.82376,House,Private room,1.0,1.0,1.0,private
255.0,1.31099,103.85849,Apartment,Entire home/apt,1.0,2.0,1.0,baths
100.0,1.32419,103.85252,Apartment,Entire home/apt,1.0,1.0,1.0,baths
71.0,1.31697,103.89104,Apartment,Private room,1.0,1.0,1.0,private
90.0,1.34611,103.87071,Apartment,Private room,1.0,1.0,1.0,shared
78.0,1.3124,103.85758,Apartment,Private room,1.0,1.0,1.0,private
92.0,1.27914,103.85002,Apartment,Private room,1.0,2.0,0.0,baths
120.0,1.30205,103.85804,Hotel,Private room,1.0,1.0,8.0,baths
100.0,1.34385,103.86892,Apartment,Private room,1.0,2.0,1.0,private
90.0,1.34603,103.87037,Apartment,Private room,1.0,1.0,1.0,shared
150.0,1.30613,103.78094,Apartment,Entire home/apt,1.0,1.0,2.0,baths
59.0,1.31011,103.86325,Apartment,Private room,1.0,1.0,3.0,shared
37.0,1.3149,103.88133,Apartment,Private room,1.0,1.0,1.0,shared
200.0,1.32614,103.8634,Apartment,Entire home/apt,1.0,1.0,1.0,baths
180.0,1.30423,103.784,Apartment,Entire home/apt,2.0,3.0,3.0,baths
200.0,1.29407,103.8284,Apartment,Private room,1.0,1.0,1.0,baths
59.0,1.28843,103.80247,Apartment,Private room,5.0,5.0,3.0,shared
62.0,1.33303,103.72607,Apartment,Private room,1.0,1.0,1.0,private
50.0,1.31461,103.88467,Apartment,Private room,1.0,1.0,1.0,private
500.0,1.38536,103.89662,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.31519,103.85735,Apartment,Entire home/apt,1.0,1.0,1.0,baths
90.0,1.30298,103.85774,Hotel,Private room,1.0,2.0,8.0,baths
59.0,1.3073,103.86344,Apartment,Private room,1.0,1.0,3.0,shared
188.0,1.41142,103.8426,Apartment,Private room,1.0,2.0,1.0,baths
59.0,1.30751,103.86163,Apartment,Private room,1.0,1.0,3.0,shared
75.0,1.31555,103.85649,Apartment,Entire home/apt,1.0,1.0,1.0,baths
65.0,1.31271,103.85702,Apartment,Private room,1.0,1.0,1.0,private
55.0,1.39863,103.90624,Apartment,Private room,1.0,1.0,1.0,private
37.0,1.28872,103.80408,Apartment,Private room,1.0,1.0,3.0,shared
60.0,1.31372,103.87098,Apartment,Private room,1.0,1.0,1.0,shared
88.0,1.30634,103.90207,House,Private room,1.0,2.0,1.0,shared
49.0,1.30743,103.86305,Apartment,Private room,1.0,1.0,3.0,shared
50.0,1.30928,103.86342,Apartment,Private room,1.0,1.0,3.0,shared
49.0,1.3075,103.86268,Apartment,Private room,1.0,1.0,3.0,shared
47.0,1.30627,103.86415,Apartment,Private room,1.0,1.0,3.0,shared
60.0,1.34002,103.73706,Apartment,Private room,1.0,1.0,2.0,baths
200.0,1.32162,103.91466,Apartment,Entire home/apt,3.0,5.0,2.0,baths
254.0,1.29694,103.85557,Hotel,Entire home/apt,1.0,1.0,1.0,baths
400.0,1.31593,103.82905,Apartment,Entire home/apt,3.0,3.0,3.0,baths
130.0,1.31713,103.91314,Apartment,Private room,1.0,1.0,1.0,private
130.0,1.31756,103.91254,Apartment,Private room,1.0,1.0,1.0,private
90.0,1.31716,103.91232,Apartment,Private room,1.0,1.0,1.0,private
100.0,1.31893,103.91257,Apartment,Private room,1.0,1.0,1.0,private
