host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,availability_30,availability_90,availability_365,property_type,room_type,accommodates,bedrooms,beds,instant_bookable,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,calculated_host_listings_count,calculated_host_listings_count_private_rooms,bathroom_qty,bathroom_type,Long term stays allowed,Television,Heater,Internet,Air Conditioning,Essentials,Swimming Pool,Washer,Refrigerator,Cooking basics,Gym,Bathtub,Coffee,Clothing storage,Garden,Elevator,Security Lock,Patio or balcony,BBQ Grill,Sound system,name_len,desc_len,mrtDisp,nearestMRT,cityDisp
within a few hours,1.0,0.7301176800224078,f,t,t,Bukit Merah,Central Region,1.27716,103.82299,1.0,1.0,1.0,Apartment,Private room,2,1.0,2.0,f,150.0,2,0.03,5.0,5.0,1,1,1.0,private,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,155,1.1339025786842654,Tiong Bahru,3.079271707096303
within a day,0.9,1.0,f,t,t,Kallang,Central Region,1.3092,103.86339,0.7,0.9,0.9753424657534246,Apartment,Private room,1,1.0,1.0,t,57.0,2,0.03,5.0,4.5,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,159,0.18235061560059307,Lavender,3.241885544938071
within a day,0.9,1.0,f,t,t,Outram,Central Region,1.28485,103.84317,0.0,0.0,0.726027397260274,Apartment,Private room,1,1.0,1.0,t,79.0,3,0.03,4.0,3.67,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,156,0.05972402296008322,Chinatown,0.7785877109624024
within a day,0.9,1.0,f,t,t,Kallang,Central Region,1.31208,103.85846,0.0,0.5666666666666667,0.8931506849315068,Apartment,Private room,1,1.0,1.0,t,57.0,2,0.03,4.5,4.0,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,152,0.40438628259988035,Farrer Park,3.3355249034256023
within a day,0.9,1.0,f,t,t,Kallang,Central Region,1.30663,103.86243,0.7333333333333333,0.9111111111111111,0.9780821917808219,Apartment,Private room,1,1.0,1.0,t,57.0,2,0.04,5.0,4.0,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,159,0.13260499297368025,Lavender,2.9392435286820926
within a few hours,1.0,0.0,f,t,t,Novena,Central Region,1.33389,103.83454,0.0,0.6,0.3972602739726027,Apartment,Private room,1,1.0,1.0,f,90.0,247,2.14,4.87,4.91,1,1,1.0,private,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5,26,0.7032030632944277,Caldecott,5.882035848925188
within an hour,1.0,0.84,f,t,t,River Valley,Central Region,1.29245,103.83742,0.16666666666666666,0.6666666666666666,0.9178082191780822,Apartment,Entire home/apt,2,1.0,1.0,f,170.0,258,2.38,4.84,4.78,1,0,1.0,baths,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,154,0.8056756731784479,Fort Canning,1.729428328346081
within a day,0.9,1.0,f,t,t,Kallang,Central Region,1.31322,103.85583,0.7333333333333333,0.9111111111111111,0.9780821917808219,Apartment,Private room,1,1.0,1.0,t,69.0,1,0.01,5.0,5.0,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,144,0.12231272606567115,Farrer Park,3.3894949960078664
within a day,0.9,1.0,f,t,t,Outram,Central Region,1.28458,103.84311,0.0,0.5555555555555556,0.8904109589041096,Apartment,Private room,1,1.0,1.0,t,79.0,3,0.04,5.0,5.0,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,155,0.057383361461839776,Chinatown,0.7790535970565334
within a day,0.9,1.0,f,t,t,Outram,Central Region,1.28386,103.84238,0.7333333333333333,0.9111111111111111,0.9780821917808219,Apartment,Private room,1,1.0,1.0,t,69.0,3,0.03,4.0,3.0,97,95,1.0,private,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,155,0.15921381212077476,Chinatown,0.8493794963866776
